Rank,Title,Year,Rating,Duration,Genre,IMDb URL,Image URL
58,Dune: Part Two,2024,8.4,2h 46m,Sci-Fi,https://www.imdb.com/title/tt15239678/,https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_.jpg
59,Raiders of the Lost Ark,1981,8.4,1h 55m,Adventure,https://www.imdb.com/title/tt0082971/,https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_.jpg
60,Avengers: Infinity War,2018,8.4,2h 29m,Action,https://www.imdb.com/title/tt4154756/,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg
61,The Lives of Others,2006,8.4,2h 17m,Drama,https://www.imdb.com/title/tt0405094/,https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_.jpg
62,Sunset Boulevard,1950,8.4,1h 50m,Drama,https://www.imdb.com/title/tt0043014/,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_.jpg
63,Spider-Man: Into the Spider-Verse,2018,8.4,1h 57m,Animation,https://www.imdb.com/title/tt4633694/,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg
64,Witness for the Prosecution,1957,8.4,1h 56m,Drama,https://www.imdb.com/title/tt0051201/,https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_.jpg
65,Paths of Glory,1957,8.4,1h 28m,War,https://www.imdb.com/title/tt0050825/,https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_.jpg
66,The Shining,1980,8.4,2h 26m,Horror,https://www.imdb.com/title/tt0081505/,https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_.jpg
67,The Great Dictator,1940,8.4,2h 5m,Comedy,https://www.imdb.com/title/tt0032553/,https://m.media-amazon.com/images/M/MV5BMjc4ZjEwNDUtMjlmZS00NzQ4LTg2N2MtMGI3ZjMyMmM3ZDM2XkEyXkFqcGc@._V1_.jpg
68,Inglourious Basterds,2009,8.4,2h 33m,War,https://www.imdb.com/title/tt0361748/,https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_.jpg
69,Aliens,1986,8.4,2h 17m,Action,https://www.imdb.com/title/tt0090605/,https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_.jpg
70,12th Fail,2023,8.7,2h 27m,Drama,https://www.imdb.com/title/tt23849204/,https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_.jpg
71,The Dark Knight Rises,2012,8.4,2h 44m,Action,https://www.imdb.com/title/tt1345836/,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg
72,High and Low,1963,8.4,2h 23m,Crime,https://www.imdb.com/title/tt0057565/,https://m.media-amazon.com/images/M/MV5BMGJiNzllYjktODAzNS00OGUzLTlmY2MtMjA2ZTZhYTY1OTc4XkEyXkFqcGc@._V1_.jpg
73,Coco,2017,8.4,1h 45m,Animation,https://www.imdb.com/title/tt2380307/,https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_.jpg
74,Avengers: Endgame,2019,8.4,3h 1m,Action,https://www.imdb.com/title/tt4154796/,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg
75,Amadeus,1984,8.4,2h 40m,Biography,https://www.imdb.com/title/tt0086879/,https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_.jpg
76,Good Will Hunting,1997,8.3,2h 6m,Drama,https://www.imdb.com/title/tt0119217/,https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_.jpg
77,Toy Story,1995,8.3,1h 21m,Animation,https://www.imdb.com/title/tt0114709/,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg
78,Oldboy,2003,8.3,2h 0m,Action,https://www.imdb.com/title/tt0364569/,https://m.media-amazon.com/images/M/MV5BMTAwNzNjYWItZmI0Ni00ZTcyLWIwNWMtZjlmNGMxZTEyYTJmXkEyXkFqcGc@._V1_.jpg
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,1h 35m,Comedy,https://www.imdb.com/title/tt0057012/,https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_.jpg
80,Das Boot,1981,8.4,2h 29m,War,https://www.imdb.com/title/tt0082096/,https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_.jpg
81,Your Name.,2016,8.4,1h 46m,Animation,https://www.imdb.com/title/tt5311514/,https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_.jpg
82,Braveheart,1995,8.3,2h 58m,Action,https://www.imdb.com/title/tt0112573/,https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_.jpg
83,Princess Mononoke,1997,8.3,2h 13m,Animation,https://www.imdb.com/title/tt0119698/,https://m.media-amazon.com/images/M/MV5BZTcyN2Y0MDYtMGI1NC00MWQ1LWFhZGMtN2U4NTcxZGYyNjljXkEyXkFqcGc@._V1_.jpg
84,American Beauty,1999,8.3,2h 2m,Drama,https://www.imdb.com/title/tt0169547/,https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_.jpg
85,3 Idiots,2009,8.4,2h 50m,Comedy,https://www.imdb.com/title/tt1187043/,https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_.jpg
86,Joker,2019,8.3,2h 2m,Drama,https://www.imdb.com/title/tt7286456/,https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_.jpg
87,Capernaum,2018,8.4,2h 6m,Drama,https://www.imdb.com/title/tt8267604/,https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_.jpg
88,Once Upon a Time in America,1984,8.3,3h 49m,Crime,https://www.imdb.com/title/tt0087843/,https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_.jpg
89,Singin' in the Rain,1952,8.3,1h 43m,Musical,https://www.imdb.com/title/tt0045152/,https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_.jpg
90,Requiem for a Dream,2000,8.3,1h 42m,Drama,https://www.imdb.com/title/tt0180093/,https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_.jpg
91,Come and See,1985,8.3,2h 22m,War,https://www.imdb.com/title/tt0091251/,https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLTkzNzUtYzc2ZTIyOTIxZjVhXkEyXkFqcGc@._V1_.jpg
92,Star Wars: Episode VI - Return of the Jedi,1983,8.3,2h 11m,Sci-Fi,https://www.imdb.com/title/tt0086190/,https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_.jpg
93,Toy Story 3,2010,8.3,1h 43m,Animation,https://www.imdb.com/title/tt0435761/,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg
94,The Hunt,2012,8.3,1h 55m,Drama,https://www.imdb.com/title/tt2106476/,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_.jpg
95,Ikiru,1952,8.3,2h 23m,Drama,https://www.imdb.com/title/tt0044741/,https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_.jpg
96,Eternal Sunshine of the Spotless Mind,2004,8.3,1h 48m,Romance,https://www.imdb.com/title/tt0338013/,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg
97,Incendies,2010,8.3,2h 11m,Drama,https://www.imdb.com/title/tt1255953/,https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_.jpg
98,The Apartment,1960,8.3,2h 5m,Comedy,https://www.imdb.com/title/tt0053604/,https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_.jpg
99,Lawrence of Arabia,1962,8.3,3h 47m,Biography,https://www.imdb.com/title/tt0056172/,https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_.jpg
100,2001: A Space Odyssey,1968,8.3,2h 29m,Sci-Fi,https://www.imdb.com/title/tt0062622/,https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_.jpg
101,Reservoir Dogs,1992,8.3,1h 39m,Crime,https://www.imdb.com/title/tt0105236/,https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_.jpg
102,Scarface,1983,8.3,2h 50m,Crime,https://www.imdb.com/title/tt0086250/,https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_.jpg
103,Heat,1995,8.3,2h 50m,Crime,https://www.imdb.com/title/tt0113277/,https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_.jpg
104,Double Indemnity,1944,8.3,1h 47m,Crime,https://www.imdb.com/title/tt0036775/,https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_.jpg
