Ranking,Nome,Plataforma,Ano,Gênero,Editora,Vendas América do Norte,Vendas EUA,Vendas Japão,Outras Vendas,Vendas Globais
58,Aladdin,Mega Drive,1993,Platform,Sega,1.35,0.86,0.21,1.46,3.02
59,Golden Axe II,Mega Drive,1991,Action,Sega,1.22,0.84,0.21,1.39,2.82
60,R-Type,Master System,1988,Shooter,Irem,1.68,1.43,0.04,1.08,2.8
61,Bridge,2600,1980,Misc,Activision,1.3,0.99,0.27,1.16,2.73
62,Duck Hunt,NES,1984,Shooter,Nintendo,1.49,1.28,0.47,0.59,2.55
63,Phantasy Star,Master System,1987,Role-Playing,Sega,1.35,0.89,0.2,0.87,2.42
64,Streets of Rage 2,Mega Drive,1992,Action,Sega,1.38,1.24,0.11,0.84,2.33
65,Contra,NES,1987,Shooter,Konami,1.34,0.91,0.22,0.76,2.32
66,Bubble Bobble,NES,1986,Puzzle,Taito,0.95,0.64,0.13,1.17,2.25
67,Gauntlet,Arcade,1985,Action,Atari,1.17,0.87,0.14,0.9,2.21
68,Super Metroid,SNES,1994,Action,Nintendo,0.87,0.73,0.45,0.86,2.18
69,Ninja Gaiden,NES,1988,Action,Tecmo,1.11,0.9,0.06,1.0,2.17
70,Missile Command,2600,1980,Shooter,Atari,0.96,0.72,0.03,1.18,2.17
71,Earthworm Jim,Mega Drive,1994,Platform,Playmates,1.09,0.96,0.13,0.93,2.15
72,Star Fox,SNES,1993,Shooter,Nintendo,0.9,0.79,0.57,0.62,2.09
73,Space Harrier,Master System,1985,Shooter,Sega,1.19,0.8,0.08,0.8,2.07
74,Q*bert,Arcade,1982,Puzzle,Gottlieb,0.88,0.64,0.08,1.11,2.07
75,Galaga,Arcade,1981,Shooter,Namco,0.9,0.73,0.12,0.97,1.99
76,Ghosts 'n Goblins,NES,1986,Platform,Capcom,0.79,0.52,0.11,0.86,1.76
77,Secret of Mana,SNES,1993,Role-Playing,Square,1.02,0.69,0.55,0.14,1.71
78,Barnstorming,2600,1982,Misc,Activision,0.73,0.64,0.06,0.86,1.65
79,Joust,Arcade,1982,Action,Williams,0.63,0.43,0.09,0.85,1.57
80,Excitebike,NES,1984,Racing,Nintendo,0.82,0.53,0.43,0.31,1.56
81,Combat,2600,1977,Shooter,Atari,0.75,0.58,0.13,0.53,1.41
82,Castlevania,NES,1986,Platform,Konami,0.59,0.43,0.1,0.72,1.41
83,Shinobi,Master System,1988,Action,Sega,0.65,0.55,0.12,0.55,1.32
84,Killer Instinct,SNES,1995,Fighting,Nintendo,0.59,0.4,0.37,0.23,1.19
85,Defender,2600,1980,Misc,Atari,0.67,0.4,0.07,0.44,1.18
86,Wonder Boy III,Master System,1989,Adventure,Sega,0.67,0.52,0.03,0.45,1.15
87,Gunstar Heroes,Mega Drive,1993,Shooter,Sega,0.49,0.35,0.08,0.53,1.1
88,Double Dragon,NES,1988,Action,Tradewest,0.65,0.52,0.04,0.4,1.09
89,After Burner,Master System,1987,Shooter,Sega,0.5,0.34,0.05,0.48,1.03
90,Yars' Revenge,2600,1982,Shooter,Atari,0.41,0.29,0.07,0.46,0.94
91,Beyond Oasis,Mega Drive,1994,Role-Playing,Sega,0.28,0.22,0.04,0.3,0.62
92,Golden Axe,Master System,1989,Action,Sega,0.27,0.2,0.03,0.27,0.57
93,Shining Force,Mega Drive,1992,Role-Playing,Sega,0.28,0.25,0.02,0.16,0.46
94,Ecco the Dolphin,Mega Drive,1992,Adventure,Sega,0.21,0.18,0.01,0.24,0.46
95,Alex Kidd in Miracle World,Master System,1986,Platform,Sega,0.2,0.17,0.03,0.22,0.45
96,Mortal Kombat II,Mega Drive,1993,Fighting,Acclaim,0.19,0.16,0.02,0.17,0.38
97,Kaboom!,2600,1981,Misc,Activision,0.12,0.09,0.01,0.1,0.23
98,Super Castlevania IV,SNES,1991,Platform,Konami,0.1,0.09,0.02,0.1,0.22
99,Mega Man 2,NES,1988,Action,Capcom,0.09,0.07,0.01,0.06,0.16
100,Kirby's Adventure,NES,1993,Platform,Nintendo,0.04,0.04,0.02,0.04,0.1
